Lon,Lat,LCC_all_AD1725_C,LCC_all_AD1725_B,LCC_all_AD1725_U,NLC_all_AD1725_C,NLC_all_AD1725_B,NLC_all_AD1725_O,HLU_all_AD1725
-10.0000000000,52.0000000000,0.0275706019,0.1832940177,0.7891353804,0.0497509006,0.3307523892,0.6194967102,0.4458270788
-10.0000000000,53.0000000000,0.0260056355,0.1798813619,0.7941130027,0.0481678998,0.3331780693,0.6186540309,0.4601044353
-10.0000000000,54.0000000000,0.0246462077,0.1745781081,0.8007756843,0.0436450692,0.3091539970,0.6472009338,0.4353037328
-10.0000000000,55.0000000000,0.0268444737,0.1726734929,0.8004820333,0.0411888158,0.2649415580,0.6938696262,0.3482581811
-9.0000000000,52.0000000000,0.0252047148,0.1659308128,0.8088644724,0.0513428668,0.3380067455,0.6106503877,0.5090902326
-9.0000000000,53.0000000000,0.0222705404,0.1597298799,0.8179995797,0.0475251371,0.3408621576,0.6116127053,0.5313945054
-9.0000000000,54.0000000000,0.0222671497,0.1576206019,0.8201122484,0.0446065138,0.3157523818,0.6396411044,0.5008094602
-9.0000000000,55.0000000000,0.0244966002,0.1644573783,0.8110460215,0.0380076347,0.2551634061,0.7068289592,0.3554821173
-8.0000000000,53.0000000000,0.0224672096,0.1543745831,0.8231582072,0.0472159975,0.3244261329,0.6283578696,0.5241610725
-8.0000000000,54.0000000000,0.0227147966,0.1485930527,0.8286921506,0.0450431502,0.2946581162,0.6602987336,0.4957103010
-8.0000000000,55.0000000000,0.0240364450,0.1590233381,0.8169402169,0.0369435388,0.2444157145,0.7186407467,0.3493735112
-8.0000000000,56.0000000000,0.0265918898,0.1538485887,0.8195595215,0.0351085248,0.2031219680,0.7617695071,0.2425802579
-7.0000000000,53.0000000000,0.0249387943,0.1565052508,0.8185559549,0.0466615103,0.2928277635,0.6605107262,0.4655382096
-7.0000000000,54.0000000000,0.0250148482,0.1548749824,0.8201101694,0.0445680366,0.2759350693,0.6794968941,0.4387267165
-7.0000000000,55.0000000000,0.0273288104,0.1628610550,0.8098101346,0.0400329453,0.2385690271,0.7213980276,0.3173419997
