Lon,Lat,LCC_all_BC4000_C,LCC_all_BC4000_B,LCC_all_BC4000_U,NLC_all_BC4000_C,NLC_all_BC4000_B,NLC_all_BC4000_O,HLU_all_BC4000
-10.0000000000,52.0000000000,0.0663042106,0.4642060174,0.4694897720,0.0690918465,0.4837226873,0.4471854662,0.0403468151
-10.0000000000,53.0000000000,0.0677027481,0.4789225005,0.4533747514,0.0706835666,0.5000085138,0.4293079196,0.0421713085
-10.0000000000,54.0000000000,0.0668864213,0.4730807188,0.4600328599,0.0694365506,0.4911175188,0.4394459307,0.0367260366
-10.0000000000,55.0000000000,0.0678865775,0.4583546310,0.4737587915,0.0697364495,0.4708445435,0.4594190069,0.0265266163
-9.0000000000,52.0000000000,0.0647150775,0.4911659578,0.4441189647,0.0675990887,0.5130546452,0.4193462661,0.0426634622
-9.0000000000,53.0000000000,0.0629131308,0.4935166072,0.4435702620,0.0660203107,0.5178906105,0.4160890788,0.0470639992
-9.0000000000,54.0000000000,0.0633703622,0.4923022880,0.4443273498,0.0660984114,0.5134955527,0.4204060359,0.0412725379
-9.0000000000,55.0000000000,0.0645013663,0.4770806012,0.4584180325,0.0665522338,0.4922497227,0.4411980435,0.0308159067
-8.0000000000,53.0000000000,0.0584404862,0.5123421033,0.4292174105,0.0613104263,0.5375025913,0.4011869823,0.0468099847
-8.0000000000,54.0000000000,0.0591543155,0.5222720628,0.4185736217,0.0618864937,0.5463943992,0.3917191071,0.0441482132
-8.0000000000,55.0000000000,0.0596905408,0.5155284251,0.4247810341,0.0619783774,0.5352877503,0.4027338723,0.0369134641
-8.0000000000,56.0000000000,0.0604763870,0.4846811405,0.4548424725,0.0624830523,0.5007633321,0.4367536156,0.0321153538
-7.0000000000,53.0000000000,0.0556387254,0.5157572722,0.4286040024,0.0578943424,0.5366662854,0.4054393722,0.0389609219
-7.0000000000,54.0000000000,0.0540447411,0.5323034355,0.4136518234,0.0565011119,0.5564969936,0.3870018946,0.0434747327
-7.0000000000,55.0000000000,0.0539849985,0.5449843139,0.4010306876,0.0564102615,0.5694676019,0.3741221366,0.0429932939
-7.0000000000,56.0000000000,0.0547957409,0.5240974791,0.4211067800,0.0571433652,0.5465514862,0.3963051486,0.0410830592
-7.0000000000,58.0000000000,0.0583481332,0.4772203146,0.4644315522,0.0605394608,0.4951428426,0.4443176965,0.0361966821
-7.0000000000,59.0000000000,0.0579038393,0.4474539690,0.4946421917,0.0599488120,0.4632565683,0.4767946197,0.0341119811
-6.0000000000,51.0000000000,0.0536098928,0.4073772105,0.5390128967,0.0547591751,0.4161105130,0.5291303119,0.0209879400
-6.0000000000,55.0000000000,0.0492652368,0.5517718462,0.3989629170,0.0514275003,0.5759892494,0.3725832503,0.0420448876
-6.0000000000,56.0000000000,0.0506327822,0.5531493777,0.3962178401,0.0530517725,0.5795761895,0.3673720380,0.0455967865
-6.0000000000,57.0000000000,0.0523232288,0.5242181799,0.4234585912,0.0547186259,0.5482172862,0.3970640879,0.0437766317
-6.0000000000,58.0000000000,0.0525239333,0.4921635582,0.4553125085,0.0547630583,0.5131447697,0.4320921720,0.0408875091
-6.0000000000,59.0000000000,0.0536046204,0.4936787497,0.4527166299,0.0557323006,0.5132738981,0.4309938014,0.0381767872
-5.0000000000,49.0000000000,0.0537929303,0.4207400635,0.5254670062,0.0550984379,0.4309510582,0.5139505039,0.0236940937
-5.0000000000,51.0000000000,0.0519679526,0.4156221052,0.5324099422,0.0528861026,0.4229651580,0.5241487394,0.0173608929
-5.0000000000,52.0000000000,0.0515036219,0.4353996985,0.5130966796,0.0523686919,0.4427127997,0.5049185084,0.0165188384
-5.0000000000,53.0000000000,0.0496111075,0.4648545209,0.4855343716,0.0505371142,0.4735311740,0.4759317119,0.0183232986
-5.0000000000,54.0000000000,0.0478328696,0.5113421606,0.4408249698,0.0489930315,0.5237445040,0.4272624645,0.0236801405
-5.0000000000,55.0000000000,0.0461749628,0.5465818563,0.4072431809,0.0478268879,0.5661360092,0.3860371029,0.0345396735
-5.0000000000,56.0000000000,0.0468049900,0.5664281587,0.3867668513,0.0488784244,0.5915206039,0.3596009717,0.0424202387
-5.0000000000,57.0000000000,0.1674729015,0.4648182946,0.3677088039,0.1749724478,0.4856331623,0.3393943900,0.0428612980
-5.0000000000,58.0000000000,0.0486062720,0.4979594141,0.4534343139,0.0506640951,0.5190413095,0.4302945954,0.0406169895
-5.0000000000,59.0000000000,0.0487810539,0.4777002721,0.4735186741,0.0507020118,0.4965117173,0.4527862709,0.0378872131
-4.0000000000,48.0000000000,0.0546737643,0.4216254308,0.5237008049,0.0560858460,0.4325149237,0.5113992303,0.0251771495
-4.0000000000,49.0000000000,0.0519168587,0.4462794452,0.5018036960,0.0532874992,0.4580615270,0.4886509738,0.0257216138
-4.0000000000,51.0000000000,0.0501527119,0.4393405836,0.5105067045,0.0510073425,0.4468271956,0.5021654619,0.0167550500
-4.0000000000,52.0000000000,0.0498114019,0.4458119653,0.5043766328,0.0505296079,0.4522399082,0.4972304839,0.0142135684
-4.0000000000,53.0000000000,0.0462479943,0.4627432928,0.4910087130,0.0469490791,0.4697581339,0.4832927869,0.0149328785
-4.0000000000,54.0000000000,0.0449736588,0.4978063569,0.4572199843,0.0457707355,0.5066290734,0.4476001911,0.0174145483
-4.0000000000,55.0000000000,0.0441628940,0.5387652946,0.4170718114,0.0452204305,0.5516667130,0.4031128565,0.0233862550
-4.0000000000,56.0000000000,0.0424787507,0.5729492096,0.3845720397,0.0440631328,0.5943191992,0.3616176680,0.0359570912
-4.0000000000,57.0000000000,0.0422220113,0.5731441954,0.3846337933,0.0441480208,0.5992888800,0.3565630991,0.0436261801
-4.0000000000,58.0000000000,0.0426857512,0.5465695701,0.4107446787,0.0445936409,0.5709991379,0.3844072212,0.0427838961
-4.0000000000,59.0000000000,0.0449961265,0.5129304697,0.4420734038,0.0467249192,0.5326377308,0.4206373501,0.0369993712
-3.0000000000,48.0000000000,0.0543214528,0.4684944109,0.4771841363,0.0558473603,0.4816545733,0.4624980664,0.0273228224
-3.0000000000,49.0000000000,0.0511033911,0.4892110741,0.4596855348,0.0526032818,0.5035694780,0.4438272402,0.0285132529
-3.0000000000,51.0000000000,0.0465270023,0.4806562071,0.4728167906,0.0474399743,0.4900878411,0.4624721846,0.0192447827
-3.0000000000,52.0000000000,0.0447554921,0.4855707899,0.4696737179,0.0455048914,0.4937013314,0.4607937772,0.0164685428
-3.0000000000,53.0000000000,0.0431586192,0.4956056272,0.4612357536,0.0438149326,0.5031423052,0.4530427623,0.0149792174
-3.0000000000,54.0000000000,0.0429090204,0.5102453745,0.4468456051,0.0435496577,0.5178634057,0.4385869365,0.0147105031
-3.0000000000,55.0000000000,0.0403123973,0.5365233832,0.4231642196,0.0410785754,0.5467205565,0.4122008681,0.0186515272
-3.0000000000,56.0000000000,0.0372443105,0.5833250485,0.3794306410,0.0384118831,0.6016117160,0.3599764009,0.0303961293
-3.0000000000,57.0000000000,0.0361970332,0.6024250226,0.3613779442,0.0377518866,0.6283023535,0.3339457599,0.0411861117
-3.0000000000,58.0000000000,0.0374933783,0.5895906901,0.3729159316,0.0391720267,0.6159877635,0.3448402098,0.0428532432
-2.0000000000,45.0000000000,0.0613598769,0.4074591876,0.5311809355,0.0624468090,0.4146769410,0.5228762500,0.0174057266
