Lon,Lat,LCC_elev_BC1000_C,LCC_elev_BC1000_B,LCC_elev_BC1000_U,NLC_elev_BC1000_C,NLC_elev_BC1000_B,NLC_elev_BC1000_O,HLU_elev_BC1000
-10.0000000000,52.0000000000,0.0318474846,0.3071319233,0.6610205921,0.0355766221,0.3430951150,0.6213282629,0.1048198885
-10.0000000000,53.0000000000,0.0323916290,0.3189362780,0.6486720930,0.0364064542,0.3584672747,0.6051262711,0.1102778399
-10.0000000000,54.0000000000,0.0307352293,0.3117185964,0.6575461743,0.0340774852,0.3456159632,0.6203065516,0.0980781282
-10.0000000000,55.0000000000,0.0303747994,0.2847013657,0.6849238350,0.0327437000,0.3069049440,0.6603513561,0.0723467599
-9.0000000000,52.0000000000,0.0331156179,0.3197855475,0.6470988346,0.0374838231,0.3619677257,0.6005484512,0.1165357439
-9.0000000000,53.0000000000,0.0323446418,0.3334845716,0.6341707867,0.0370552159,0.3820522386,0.5808925456,0.1271231054
-9.0000000000,54.0000000000,0.0322263472,0.3299146672,0.6378589855,0.0363428992,0.3720575407,0.5915995601,0.1132697738
-9.0000000000,55.0000000000,0.0299441037,0.2988009527,0.6712549436,0.0326632507,0.3259342985,0.6414024507,0.0832478998
-8.0000000000,53.0000000000,0.0312271082,0.3373226640,0.6314502279,0.0357659051,0.3863518302,0.5778822646,0.1269028964
-8.0000000000,54.0000000000,0.0337736195,0.3454524794,0.6207739011,0.0384527593,0.3933129238,0.5682343169,0.1216854099
-8.0000000000,55.0000000000,0.0295387254,0.3169175602,0.6535437144,0.0327633571,0.3515142592,0.6157223837,0.0984218936
-8.0000000000,56.0000000000,0.0311797928,0.2923012598,0.6765189474,0.0339284194,0.3180688148,0.6480027658,0.0810125160
-7.0000000000,53.0000000000,0.0286522470,0.3249379496,0.6464098034,0.0322075733,0.3652580140,0.6025344127,0.1103878978
-7.0000000000,54.0000000000,0.0306193029,0.3453275653,0.6240531317,0.0348740153,0.3933126373,0.5718133474,0.1220023652
-7.0000000000,55.0000000000,0.0285594907,0.3306570870,0.6407834223,0.0321477564,0.3722014371,0.5956508065,0.1116179197
-7.0000000000,56.0000000000,0.0310432433,0.3142181183,0.6547386384,0.0344667673,0.3488708528,0.6166623799,0.0993282592
-7.0000000000,58.0000000000,0.0354448602,0.2550062461,0.7095488937,0.0384303191,0.2764849785,0.6850847024,0.0776849887
-7.0000000000,59.0000000000,0.0367110621,0.2256496672,0.7376392707,0.0394633562,0.2425670269,0.7179696169,0.0697430312
-6.0000000000,51.0000000000,0.0209201954,0.2390602836,0.7400195210,0.0223845407,0.2557937219,0.7218217375,0.0654177051
-6.0000000000,55.0000000000,0.0276481233,0.3277606521,0.6445912246,0.0308371865,0.3655660908,0.6035967227,0.1034161529
-6.0000000000,56.0000000000,0.0389004544,0.3348841528,0.6262153928,0.0432969931,0.3727328396,0.5839701674,0.1015437406
-6.0000000000,57.0000000000,0.0457897578,0.3146454595,0.6395647827,0.0504027438,0.3463437081,0.6032535481,0.0915225188
-6.0000000000,58.0000000000,0.0374635728,0.2656286547,0.6969077726,0.0408387658,0.2895598479,0.6696013863,0.0826467944
-6.0000000000,59.0000000000,0.0395030802,0.2401106059,0.7203863139,0.0427088162,0.2595959528,0.6976952310,0.0750602875
-5.0000000000,49.0000000000,0.0268326081,0.2470897681,0.7260776238,0.0292886780,0.2697066430,0.7010046790,0.0838573150
-5.0000000000,51.0000000000,0.0204313955,0.2260397706,0.7535288339,0.0216600780,0.2396331208,0.7387068012,0.0567256736
-5.0000000000,52.0000000000,0.0196087008,0.2330005638,0.7473907354,0.0206983504,0.2459483347,0.7333533148,0.0526442716
-5.0000000000,53.0000000000,0.0198674691,0.2529301453,0.7272023856,0.0210355225,0.2678004796,0.7111639979,0.0555276614
-5.0000000000,54.0000000000,0.0227386896,0.2866958438,0.6905654666,0.0243720934,0.3072902631,0.6683376434,0.0670194333
-5.0000000000,55.0000000000,0.0315816390,0.3260982889,0.6423200721,0.0344944360,0.3561745660,0.6093309980,0.0844425176
-5.0000000000,56.0000000000,0.0493102936,0.3469548672,0.6037348392,0.0542447971,0.3816747983,0.5640804046,0.0909673137
-5.0000000000,57.0000000000,0.0559348148,0.3280873328,0.6159778524,0.0612730519,0.3593989229,0.5793280252,0.0871221034
-5.0000000000,58.0000000000,0.0439331685,0.2768257753,0.6792410562,0.0478025504,0.3012070046,0.6509904450,0.0809450940
-5.0000000000,59.0000000000,0.0405251995,0.2399133474,0.7195614531,0.0437021139,0.2587210069,0.6975768792,0.0726947523
