Lon,Lat,LCC_elev_AD1900_C,LCC_elev_AD1900_B,LCC_elev_AD1900_U,NLC_elev_AD1900_C,NLC_elev_AD1900_B,NLC_elev_AD1900_O,HLU_elev_AD1900
-10.0000000000,52.0000000000,0.0306939952,0.1090627766,0.8602432282,0.1382847713,0.4913573823,0.3703578464,0.7780377775
-10.0000000000,53.0000000000,0.0277528076,0.1034928699,0.8687543225,0.1295175413,0.4829832803,0.3874991784,0.7857216304
-10.0000000000,54.0000000000,0.0314491898,0.1163129949,0.8522378153,0.1189209522,0.4398222087,0.4412568391,0.7355454259
-10.0000000000,55.0000000000,0.0380010108,0.1346454363,0.8273535529,0.1062918987,0.3766141687,0.5170939326,0.6424844111
-9.0000000000,52.0000000000,0.0265129196,0.0959805519,0.8775065286,0.1369126451,0.4956433112,0.3674440437,0.8063515643
-9.0000000000,53.0000000000,0.0194459212,0.0785866808,0.9019673980,0.1246670282,0.5038160880,0.3715168838,0.8440171272
-9.0000000000,54.0000000000,0.0220623623,0.0883408841,0.8895967536,0.1159775139,0.4643907103,0.4196317757,0.8097703462
-9.0000000000,55.0000000000,0.0358920442,0.1296038962,0.8345040596,0.1047370963,0.3781990147,0.5170638890,0.6573129725
-8.0000000000,53.0000000000,0.0198094613,0.0789224213,0.9012681173,0.1224449507,0.4878301240,0.3897249253,0.8382174092
-8.0000000000,54.0000000000,0.0225113854,0.0878266113,0.8896620034,0.1159818264,0.4524950652,0.4315231084,0.8059059247
-8.0000000000,55.0000000000,0.0377006949,0.1347302985,0.8275690067,0.1023032463,0.3655992800,0.5320974737,0.6314809524
-8.0000000000,56.0000000000,0.0449589728,0.1477019809,0.8073390463,0.0885784167,0.2910032594,0.6204183239,0.4924387402
-7.0000000000,53.0000000000,0.0285668798,0.1038871929,0.8675459273,0.1208510105,0.4394904990,0.4396584905,0.7636190244
-7.0000000000,54.0000000000,0.0320108984,0.1151492686,0.8528398331,0.1126646917,0.4052762496,0.4820590587,0.7158746197
-7.0000000000,55.0000000000,0.0435427857,0.1495718795,0.8068853348,0.0988709476,0.3396271790,0.5615018734,0.5595997943
-7.0000000000,56.0000000000,0.0511741455,0.1580832362,0.7907426184,0.0863407895,0.2667173295,0.6469418810,0.4073004688
-7.0000000000,58.0000000000,0.0438869184,0.1201052942,0.8360077874,0.0597756137,0.1635878740,0.7766365123,0.2658056413
-7.0000000000,59.0000000000,0.0385506841,0.1074677618,0.8539815541,0.0531500407,0.1481663959,0.7986835634,0.2746819467
-6.0000000000,51.0000000000,0.0531385727,0.1579833862,0.7888780411,0.1317465001,0.3916883188,0.4765651811,0.5966604604
-6.0000000000,55.0000000000,0.0501579981,0.1572971130,0.7925448889,0.0941329315,0.2952039340,0.6106631344,0.4671578023
-6.0000000000,56.0000000000,0.0575878182,0.1565956815,0.7858165003,0.0868898645,0.2362752747,0.6768348608,0.3372320411
-6.0000000000,57.0000000000,0.0562332526,0.1399501363,0.8038166112,0.0760989499,0.1893907595,0.7345102906,0.2610508736
-6.0000000000,58.0000000000,0.0480724815,0.1241384514,0.8277890671,0.0625567569,0.1615414616,0.7759017815,0.2315381439
-6.0000000000,59.0000000000,0.0418825731,0.1144033112,0.8437141157,0.0562238608,0.1535769023,0.7901992369,0.2550747576
-5.0000000000,49.0000000000,0.0547479226,0.1583154651,0.7869366124,0.1431487435,0.4139455681,0.4429056884,0.6175452106
-5.0000000000,51.0000000000,0.0562465929,0.1603228130,0.7834305941,0.1284570472,0.3661483136,0.5053946392,0.5621369619
-5.0000000000,52.0000000000,0.0557310340,0.1596731120,0.7845958540,0.1193422825,0.3419235619,0.5387341556,0.5330151830
-5.0000000000,53.0000000000,0.0550611563,0.1603505775,0.7845882662,0.1082894908,0.3153635620,0.5763469472,0.4915373975
-5.0000000000,54.0000000000,0.0529463762,0.1567994562,0.7902541676,0.0986097690,0.2920305274,0.6093597036,0.4630716945
-5.0000000000,55.0000000000,0.0540255600,0.1531155107,0.7928589294,0.0926400344,0.2625539873,0.6448059783,0.4168227561
-5.0000000000,56.0000000000,0.0572583321,0.1460325498,0.7967091181,0.0890364532,0.2270799692,0.6838835776,0.3569113545
-5.0000000000,57.0000000000,0.0586675193,0.1383837389,0.8029487418,0.0795073445,0.1875402905,0.7329523650,0.2621119518
-5.0000000000,58.0000000000,0.0516052383,0.1282878945,0.8201068672,0.0669354380,0.1663979606,0.7666666014,0.2290296465
-5.0000000000,59.0000000000,0.0442518421,0.1174229419,0.8383252160,0.0584354304,0.1550593110,0.7865052586,0.2427224061
-4.0000000000,48.0000000000,0.0536246382,0.1521216604,0.7942537014,0.1519334244,0.4310027175,0.4170638581,0.6470517372
-4.0000000000,49.0000000000,0.0440810655,0.1354328862,0.8204860483,0.1408524807,0.4327494760,0.4263980434,0.6870409008
-4.0000000000,51.0000000000,0.0564964831,0.1542305046,0.7892730123,0.1310326487,0.3577077799,0.5112595714,0.5688365944
-4.0000000000,52.0000000000,0.0600763909,0.1544925848,0.7854310243,0.1246800001,0.3206273748,0.5546926250,0.5181553512
-4.0000000000,53.0000000000,0.0568029713,0.1566135347,0.7865834940,0.1051869959,0.2900148861,0.6047981179,0.4599810485
-4.0000000000,54.0000000000,0.0527457241,0.1494748895,0.7977793864,0.0936934479,0.2655156987,0.6407908534,0.4370393529
-4.0000000000,55.0000000000,0.0546147003,0.1446344923,0.8007508073,0.0901917156,0.2388520476,0.6709562368,0.3944599019
-4.0000000000,56.0000000000,0.0521707808,0.1369617335,0.8108674858,0.0852955871,0.2239228799,0.6907815330,0.3883531082
-4.0000000000,57.0000000000,0.0508526046,0.1322475066,0.8168998888,0.0778848725,0.2025477411,0.7195673865,0.3470798248
-4.0000000000,58.0000000000,0.0469113118,0.1286009483,0.8244877399,0.0670133329,0.1837078911,0.7492787760,0.2999704722
-4.0000000000,59.0000000000,0.0433149391,0.1187202953,0.8379647656,0.0606189622,0.1661482446,0.7732327932,0.2854556145
-3.0000000000,48.0000000000,0.0414564595,0.1268085339,0.8317350067,0.1488024398,0.4551623432,0.3960352169,0.7213993298
-3.0000000000,49.0000000000,0.0339214639,0.1113980270,0.8546805092,0.1397210259,0.4588436001,0.4014353740,0.7572200485
-3.0000000000,51.0000000000,0.0497168278,0.1440713019,0.8062118703,0.1306165234,0.3785054962,0.4908779804,0.6193680057
-3.0000000000,52.0000000000,0.0458816510,0.1345431684,0.8195751806,0.1187770649,0.3483013860,0.5329215491,0.6137162417
-3.0000000000,53.0000000000,0.0464851719,0.1350891028,0.8184257253,0.1053106004,0.3060398390,0.5886495606,0.5585898123
-3.0000000000,54.0000000000,0.0466877736,0.1299358069,0.8233764195,0.0964936560,0.2685495597,0.6349567843,0.5161570661
-3.0000000000,55.0000000000,0.0494391798,0.1350841432,0.8154766770,0.0862936961,0.2357828356,0.6779234683,0.4270823706
-3.0000000000,56.0000000000,0.0459708333,0.1322631558,0.8217660109,0.0784542022,0.2257213894,0.6958244084,0.4140424346
-3.0000000000,57.0000000000,0.0438721682,0.1271781152,0.8289497166,0.0755850779,0.2191085634,0.7053063587,0.4195657474
-3.0000000000,58.0000000000,0.0423632206,0.1259993819,0.8316373976,0.0703504719,0.2092408428,0.7204086853,0.3978260640
-2.0000000000,45.0000000000,0.1254177535,0.2471694730,0.6274127735,0.1717236140,0.3384276466,0.4898487394,0.2696534239
-2.0000000000,47.0000000000,0.0531572898,0.1495086528,0.7973340574,0.1576995517,0.4435411889,0.3987592594,0.6629204761
-2.0000000000,48.0000000000,0.0334990633,0.1074933123,0.8590076244,0.1485664410,0.4767267277,0.3747068313,0.7745179659
-2.0000000000,49.0000000000,0.0293150536,0.1003441234,0.8703408230,0.1396254125,0.4779315713,0.3824430162,0.7900449992
-2.0000000000,50.0000000000,0.0365189265,0.1189386262,0.8445424473,0.1357578848,0.4421503547,0.4220917605,0.7309995912
-2.0000000000,51.0000000000,0.0492721339,0.1438662364,0.8068616297,0.1343432957,0.3922595354,0.4733971689,0.6332371213
-2.0000000000,52.0000000000,0.0405714374,0.1247785311,0.8346500315,0.1206127283,0.3709476431,0.5084396286,0.6636222565
-2.0000000000,53.0000000000,0.0412289552,0.1247545072,0.8340165376,0.1075865255,0.3255455759,0.5668678986,0.6167832818
-2.0000000000,54.0000000000,0.0412109447,0.1237381939,0.8350508614,0.0945690655,0.2839489715,0.6214819630,0.5642238348
-2.0000000000,55.0000000000,0.0414109403,0.1262941811,0.8322948786,0.0825783193,0.2518455540,0.6655761267,0.4985252705
-2.0000000000,56.0000000000,0.0426099997,0.1279543160,0.8294356843,0.0781296558,0.2346169147,0.6872534295,0.4546245051
-1.0000000000,45.0000000000,0.1096511699,0.2300760579,0.6602727722,0.1763607828,0.3700498018,0.4535894154,0.3782565028
-1.0000000000,46.0000000000,0.0783201258,0.1883833515,0.7332965228,0.1722096420,0.4142157484,0.4135746096,0.5452047582
-1.0000000000,47.0000000000,0.0501833579,0.1410843341,0.8087323081,0.1614225208,0.4538195495,0.3847579296,0.6891179893
-1.0000000000,48.0000000000,0.0382910810,0.1153070537,0.8464018652,0.1563879773,0.4709356960,0.3726763267,0.7551532943
-1.0000000000,49.0000000000,0.0349018108,0.1136032027,0.8514949865,0.1439327368,0.4684920208,0.3875752424,0.7575130469
